speech,index,word
0,0,good
0,1,evening
0,2,from
0,3,the
0,4,health
0,5,education
0,6,campus
0,7,of
0,8,case
0,9,western
0,10,reserve
0,11,university
0,12,and
0,13,the
0,14,cleveland
0,15,clinic
0,16,i
0,17,chris
0,18,wallace
0,19,of
0,20,fox
0,21,news
0,22,and
0,23,i
0,24,welcome
0,25,you
0,26,to
0,27,the
0,28,first
0,29,of
0,30,the
0,31,2020
0,32,presidential
0,33,debates
0,34,between
0,35,president
0,36,donald
0,37,j
0,38,trump
0,39,and
0,40,former
0,41,vice
0,42,president
0,43,joe
0,44,biden
0,45,this
0,46,debate
0,47,is
0,48,sponsored
0,49,by
0,50,the
0,51,commission
0,52,on
0,53,presidential
0,54,debates
0,55,the
0,56,commission
0,57,has
0,58,designed
0,59,the
0,60,format
0,61,six
0,62,roughly
0,63,15
0,64,minute
0,65,segments
0,66,with
0,67,two
0,68,minute
0,69,answers
0,70,from
0,71,each
0,72,candidate
0,73,to
0,74,the
0,75,first
0,76,question
0,77,then
0,78,open
0,79,discussion
0,80,for
0,81,the
0,82,rest
0,83,of
0,84,each
0,85,segment
0,86,both
0,87,campaigns
0,88,have
0,89,agreed
0,90,to
0,91,these
0,92,rules
0,93,for
0,94,the
0,95,record
0,96,i
0,97,decided
0,98,the
0,99,topics
0,100,and
0,101,the
0,102,questions
0,103,in
0,104,each
0,105,topic
0,106,i
0,107,can
0,108,assure
0,109,you
0,110,none
0,111,of
0,112,the
0,113,questions
0,114,has
0,115,been
0,116,shared
0,117,with
0,118,the
0,119,commission
0,120,or
0,121,the
0,122,two
0,123,candidates
1,0,this
1,1,debate
1,2,is
1,3,being
1,4,conducted
1,5,under
1,6,health
1,7,and
1,8,safety
1,9,protocols
1,10,designed
1,11,by
1,12,the
1,13,cleveland
1,14,clinic
1,15,which
1,16,is
1,17,serving
1,18,as
1,19,the
1,20,health
1,21,security
1,22,advisor
1,23,to
1,24,the
1,25,commission
1,26,for
1,27,all
1,28,four
1,29,debates
1,30,as
1,31,a
1,32,precaution
1,33,both
1,34,campaigns
1,35,have
1,36,agreed
1,37,the
1,38,candidates
1,39,will
1,40,not
1,41,shake
1,42,hands
1,43,at
1,44,the
1,45,beginning
1,46,of
1,47,tonight
1,48,debate
1,49,the
1,50,audience
1,51,here
1,52,in
1,53,the
1,54,hall
1,55,has
1,56,promised
1,57,to
1,58,remain
1,59,silent
1,60,no
1,61,cheers
1,62,no
1,63,boos
1,64,or
1,65,other
1,66,interruptions
1,67,so
1,68,we
1,69,and
1,70,more
1,71,importantly
1,72,you
1,73,can
1,74,focus
1,75,on
1,76,what
1,77,the
1,78,candidates
1,79,have
1,80,to
1,81,say
1,82,no
1,83,noise
1,84,except
1,85,right
1,86,now
1,87,as
1,88,we
1,89,welcome
1,90,the
1,91,republican
1,92,nominee
1,93,president
1,94,trump
1,95,and
1,96,the
1,97,democratic
1,98,nominee
1,99,vice
1,100,president
1,101,biden
2,0,how
2,1,you
2,2,doing
2,3,man
3,0,how
3,1,are
3,2,you
3,3,doing
4,0,i
4,1,well
5,0,gentlemen
5,1,a
5,2,lot
5,3,of
5,4,people
5,5,been
5,6,waiting
5,7,for
5,8,this
5,9,night
5,10,so
5,11,let
5,12,get
5,13,going
5,14,our
5,15,first
5,16,subject
5,17,is
5,18,the
5,19,supreme
5,20,court
